Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2021-06-01,25.8,25.9,24.65,25.05,24.95,280290.0,427.0,6993826.0,223539.0,79.75,1.25,-0.75
2021-05-31,27.15,27.5,25.8,25.9,26.41,158579.0,435.0,4187297.0,116576.0,73.51,1.7,-1.25
2021-05-28,27.9,28.9,27.0,27.15,27.73,102753.0,288.0,2849114.0,76930.0,74.87,1.9,-0.75
2021-05-27,27.9,28.2,27.1,27.75,27.61,118146.0,307.0,3261893.0,95960.0,81.22,1.1,-0.15
2021-05-26,27.5,28.25,27.5,27.7,27.91,174139.0,286.0,4861052.0,146235.0,83.98,0.75,0.2
2021-05-25,28.0,28.8,27.55,27.8,28.07,125663.0,305.0,3527385.0,96690.0,76.94,1.25,-0.2
2021-05-24,29.65,29.95,28.0,28.1,28.91,178372.0,410.0,5156671.0,135048.0,75.71,1.95,-1.55
2021-05-21,28.0,29.6,27.55,29.25,29.05,259390.0,513.0,7535155.0,211344.0,81.48,2.05,1.25
2021-05-20,28.2,28.95,27.25,28.25,28.21,159455.0,351.0,4498912.0,119376.0,74.86,1.7,0.05
2021-05-19,28.7,30.1,28.1,28.2,28.85,336487.0,695.0,9706893.0,265794.0,78.99,2.0,-0.5
2021-05-18,30.65,30.65,27.75,29.55,30.2,916390.0,1390.0,27673962.0,683112.0,74.54,2.9,-1.1
2021-05-17,29.2,29.2,27.0,29.2,29.07,832440.0,739.0,24202730.0,631482.0,75.86,2.2,0.0
2021-05-14,27.85,27.85,27.85,27.85,27.85,189480.0,189.0,5277018.0,189480.0,100.0,0.0,0.0
2021-05-12,26.2,26.55,26.1,26.55,26.5,193580.0,224.0,5130210.0,165866.0,85.68,0.45,0.35
2021-05-11,23.85,25.3,23.3,25.3,24.68,387343.0,462.0,9559898.0,309676.0,79.95,2.0,1.45
2021-05-10,24.3,24.75,23.4,24.1,23.92,185500.0,331.0,4437783.0,154640.0,83.36,1.35,-0.2
2021-05-07,24.6,24.8,23.3,24.15,24.15,120915.0,355.0,2919529.0,87106.0,72.04,1.5,-0.45
2021-05-06,24.0,24.45,23.0,24.1,23.88,237451.0,426.0,5670359.0,189699.0,79.89,1.45,0.1
2021-05-05,23.0,24.15,23.0,23.45,23.66,188818.0,349.0,4467804.0,136888.0,72.5,1.15,0.45
2021-05-04,23.4,24.0,22.05,23.0,23.58,308907.0,544.0,7284523.0,224844.0,72.79,1.95,-0.4
